Subject,SubskillID,SubskillDescription,ConceptGroup,DetailedObjective
Mathematics,COUNT001-01-D,"Demonstrate sequential understanding through 20 (before/after, missing numbers, backward counting)",Number Pattern,Identify and complete repeating number patterns within 20 (counting by 2s)
Mathematics,COUNT001-01-D,"Demonstrate sequential understanding through 20 (before/after, missing numbers, backward counting)",Real-world Application,Order numbered items (like pages or steps) from 1-20 in correct sequence
Mathematics,COUNT001-01-D,"Demonstrate sequential understanding through 20 (before/after, missing numbers, backward counting)",Number Relations,Place three numbers between 1-20 in correct ascending or descending order
Mathematics,COUNT001-01-E,Count by 2s and 5s up to 50 using visual aids and concrete objects,Skip Counting Basics,Count by 2s to 20 using paired objects like socks or shoes
Mathematics,COUNT001-01-E,Count by 2s and 5s up to 50 using visual aids and concrete objects,Skip Counting Basics,Count by 5s to 25 using five-frame cards and manipulatives
Mathematics,COUNT001-01-E,Count by 2s and 5s up to 50 using visual aids and concrete objects,Pattern Recognition,Identify and continue visual patterns when counting by 2s on a number line to 30
Mathematics,COUNT001-01-E,Count by 2s and 5s up to 50 using visual aids and concrete objects,Skip Counting Application,Group and count pennies by 5s up to 50 cents using a coin chart
Mathematics,COUNT001-01-E,Count by 2s and 5s up to 50 using visual aids and concrete objects,Pattern Recognition,Circle numbers when counting by 5s on a 50-chart and identify the pattern
Mathematics,COUNT001-01-E,Count by 2s and 5s up to 50 using visual aids and concrete objects,Skip Counting Application,Count pairs of students in line up to 24 students by 2s
Mathematics,COUNT001-01-E,Count by 2s and 5s up to 50 using visual aids and concrete objects,Skip Counting Integration,Demonstrate counting by both 2s and 5s using manipulatives and explain the difference
Mathematics,COUNT001-01-F,"Count and recognize numbers from 21-100, with emphasis on decade numbers,Number Recognition,Identify and read decade numbers (20, 30",40,etc.) when shown in numerical form
Mathematics,COUNT001-01-F,"Count and recognize numbers from 21-100, with emphasis on decade numbers",Sequence Skills,Order numbers from 21-30 in ascending order using number cards
Mathematics,COUNT001-01-F,"Count and recognize numbers from 21-100, with emphasis on decade numbers",Counting Skills,Count forward from any given number between 21-50 without starting from 1
Mathematics,COUNT001-01-F,"Count and recognize numbers from 21-100, with emphasis on decade numbers",Pattern Recognition,Identify the pattern of counting by tens starting from 20 up to 100
Mathematics,COUNT001-01-F,"Count and recognize numbers from 21-100, with emphasis on decade numbers",Number Writing,Write numbers 21-30 legibly when dictated orally
Mathematics,COUNT001-01-F,"Count and recognize numbers from 21-100, with emphasis on decade numbers,Real-world Application",Use numbers 21-100 to identify classroom objects (e.g.,counting classroom supplies)
Mathematics,COUNT001-01-F,"Count and recognize numbers from 21-100, with emphasis on decade numbers",Number Relationships,Place missing numbers in a sequence between 21-50 using a number line
Mathematics,COUNT001-01-F,"Count and recognize numbers from 21-100, with emphasis on decade numbers,Numerical Fluency,Skip count by tens from any decade number up to 100 (e.g., 30",40,50...)
Mathematics,COUNT001-01-G,Count forward from any given number up to 100 and identify sequence errors,Number Sequence,Start at any number 1-20 and count forward correctly to the next five numbers
Mathematics,COUNT001-01-G,Count forward from any given number up to 100 and identify sequence errors,Error Detection,Identify missing numbers in a sequence of up to 30 when presented verbally or visually
Mathematics,COUNT001-01-G,Count forward from any given number up to 100 and identify sequence errors,Skip Counting,Count forward by ones from any given number up to 50 without visual aids
Mathematics,COUNT001-01-G,Count forward from any given number up to 100 and identify sequence errors,Pattern Recognition,Spot and correct out-of-order numbers in a sequence up to 100
Mathematics,COUNT001-01-G,Count forward from any given number up to 100 and identify sequence errors,Real-world Application,Use number sequence skills to count forward from any point on a number line or calendar
Mathematics,COUNT001-01-G,Count forward from any given number up to 100 and identify sequence errors,Verbal Skills,Explain why a number comes next in a sequence using mathematical reasoning
Mathematics,COUNT001-01-G,Count forward from any given number up to 100 and identify sequence errors,Advanced Counting,Count forward from any two-digit number up to 100 with confidence and accuracy
Mathematics,COUNT001-02-A,Count up to 5 objects using one-to-one correspondence with correct touching and tracking,Physical Counting,Touch and count individual objects in a line from left to right without skipping
Mathematics,COUNT001-02-A,Count up to 5 objects using one-to-one correspondence with correct touching and tracking,Counting Accuracy,Demonstrate one-to-one correspondence by moving objects into a separate pile while counting
Mathematics,COUNT001-02-A,Count up to 5 objects using one-to-one correspondence with correct touching and tracking,Tracking Skills,Point to and track each object once and only once when counting up to 5 items
Mathematics,COUNT001-02-A,Count up to 5 objects using one-to-one correspondence with correct touching and tracking,Object Recognition,Count up to 5 different objects arranged randomly on a surface while maintaining accurate tracking
Mathematics,COUNT001-02-A,"Count up to 5 objects using one-to-one correspondence with correct touching and tracking,Spatial Awareness,Count objects in different arrangements (circular",scattered,linear) while maintaining accurate count
Mathematics,COUNT001-02-A,Count up to 5 objects using one-to-one correspondence with correct touching and tracking,Counting Application,Match quantity to numeral by counting classroom objects and selecting the corresponding number card
Mathematics,COUNT001-02-A,Count up to 5 objects using one-to-one correspondence with correct touching and tracking,Counting Fluency,Count sets of up to 5 objects with consistent accuracy and proper touching technique in various contexts
Mathematics,COUNT001-02-B,"Count up to 10 objects in various arrangements (linear, scattered, circular) with consistent accuracy",Counting Sequence,Count objects arranged in a straight line from left to right without skipping or double-counting
Mathematics,COUNT001-02-B,"Count up to 10 objects in various arrangements (linear, scattered, circular) with consistent accuracy",Spatial Recognition,Accurately count scattered objects by marking or touching each item once
Mathematics,COUNT001-02-B,"Count up to 10 objects in various arrangements (linear, scattered, circular) with consistent accuracy",Pattern Recognition,Count objects arranged in a circular pattern by choosing a starting point and tracking progress
Mathematics,COUNT001-02-B,"Count up to 10 objects in various arrangements (linear, scattered, circular) with consistent accuracy,Object Classification,Count sets of different objects (buttons",blocks,toys) in various arrangements while maintaining accuracy
Mathematics,COUNT001-02-B,"Count up to 10 objects in various arrangements (linear, scattered, circular) with consistent accuracy",Counting Strategy,Demonstrate one-to-one correspondence by moving objects into a line while counting
Mathematics,COUNT001-02-B,"Count up to 10 objects in various arrangements (linear, scattered, circular) with consistent accuracy,Application Skills,Count real-world objects in different orientations (books on shelf",snacks on plate,students in line)
Mathematics,COUNT001-02-B,"Count up to 10 objects in various arrangements (linear, scattered, circular) with consistent accuracy",Verification Skills,Recount objects in different arrangements to confirm the total remains the same
Mathematics,COUNT001-02-C,Demonstrate counting conservation by counting objects of different sizes and in different arrangements while recognizing total remains unchanged,Conservation Basics,Count 5 identical objects arranged in different patterns and verify the total remains the same
Mathematics,COUNT001-02-C,Demonstrate counting conservation by counting objects of different sizes and in different arrangements while recognizing total remains unchanged,Spatial Recognition,Count 7 objects spread far apart and then close together to confirm quantity doesn't change
Mathematics,COUNT001-02-C,Demonstrate counting conservation by counting objects of different sizes and in different arrangements while recognizing total remains unchanged,Size Differentiation,Count a group of 6 mixed-size objects (small and large blocks) and explain why the total stays constant
Mathematics,COUNT001-02-C,"Demonstrate counting conservation by counting objects of different sizes and in different arrangements while recognizing total remains unchanged,Pattern Recognition,Count 8 objects arranged in different geometric shapes (circle",line,triangle) and identify same quantity
Mathematics,COUNT001-02-C,Demonstrate counting conservation by counting objects of different sizes and in different arrangements while recognizing total remains unchanged,Real-world Application,Count 10 classroom items (mix of pencils and erasers) in different groupings while maintaining same total
Mathematics,COUNT001-02-C,Demonstrate counting conservation by counting objects of different sizes and in different arrangements while recognizing total remains unchanged,Visual Discrimination,Compare and count two sets of 5 objects arranged differently to prove equal quantities
Mathematics,COUNT001-02-C,Demonstrate counting conservation by counting objects of different sizes and in different arrangements while recognizing total remains unchanged,Conservation Mastery,Demonstrate that rearranging 9 objects in multiple ways doesn't change the total count
Mathematics,COUNT001-02-D,"Count up to 20 objects in structured arrangements (lines, arrays) and count out requested quantities",Spatial Organization,Accurately count objects arranged in a straight line from left to right up to 10 items
Mathematics,COUNT001-02-D,"Count up to 20 objects in structured arrangements (lines, arrays) and count out requested quantities",Quantity Matching,Select and count out a requested number of objects (up to 15) from a larger group
Mathematics,COUNT001-02-D,"Count up to 20 objects in structured arrangements (lines, arrays) and count out requested quantities",Array Recognition,Count objects arranged in a 5x4 array by using rows or columns
Mathematics,COUNT001-02-D,"Count up to 20 objects in structured arrangements (lines, arrays) and count out requested quantities",Pattern Counting,Count objects arranged in structured pairs or groups of 5 up to 20 total objects
Mathematics,COUNT001-02-D,"Count up to 20 objects in structured arrangements (lines, arrays) and count out requested quantities",Object Manipulation,Create requested quantities up to 20 using manipulatives in organized arrangements
Mathematics,COUNT001-02-D,"Count up to 20 objects in structured arrangements (lines, arrays) and count out requested quantities",Visual Recognition,Identify the total number of objects in structured arrangements without recounting (up to 10 objects)
Mathematics,COUNT001-02-D,"Count up to 20 objects in structured arrangements (lines, arrays) and count out requested quantities",Sequential Counting,Demonstrate one-to-one correspondence while counting objects in various linear arrangements up to 20
Mathematics,COUNT001-02-E,Compare quantities between groups and count backwards from 10 using concrete objects,Quantity Comparison,Compare two groups of objects up to 10 items and identify which has more or less
Mathematics,COUNT001-02-E,Compare quantities between groups and count backwards from 10 using concrete objects,Backward Counting,Count backwards from 10 to 1 using manipulatives while removing one object at a time
Mathematics,COUNT001-02-E,Compare quantities between groups and count backwards from 10 using concrete objects,Group Matching,Match equal quantities of different objects (up to 10) and identify when groups are the same
Mathematics,COUNT001-02-E,Compare quantities between groups and count backwards from 10 using concrete objects,Quantity Relationships,Arrange groups of objects from least to greatest (up to 10 items) using classroom materials
Mathematics,COUNT001-02-E,"Compare quantities between groups and count backwards from 10 using concrete objects,Real-world Application,Sort and compare quantities of everyday items (like buttons",blocks,or crayons) up to 10
Mathematics,COUNT001-02-E,Compare quantities between groups and count backwards from 10 using concrete objects,Visual Recognition,Identify at a glance which group has more without counting (up to 5 objects)
Mathematics,COUNT001-02-E,Compare quantities between groups and count backwards from 10 using concrete objects,Numerical Relationships,"Create groups of objects that are ""one more"" or ""one less"" than a given group up to 10"
Mathematics,COUNT001-02-F,"Count objects in groups of 2 up to 20 (skip counting) and track running totals as objects change,Skip Counting Basics,Count pairs of objects (socks",shoes,gloves) by 2s up to 10
Mathematics,COUNT001-02-F,Count objects in groups of 2 up to 20 (skip counting) and track running totals as objects change,Skip Counting Progression,Skip count by 2s from 0 to 20 using a number line or counting chart
Mathematics,COUNT001-02-F,Count objects in groups of 2 up to 20 (skip counting) and track running totals as objects change,Running Totals,Keep track of total objects when adding two more items to a group within 20
Mathematics,COUNT001-02-F,Count objects in groups of 2 up to 20 (skip counting) and track running totals as objects change,Dynamic Counting,Update the total count when removing pairs of objects from a group of up to 20 items
Mathematics,COUNT001-02-F,Count objects in groups of 2 up to 20 (skip counting) and track running totals as objects change,Pattern Recognition,Identify even numbers as outcomes when counting by 2s from 0 to 20
Mathematics,COUNT001-02-F,"Count objects in groups of 2 up to 20 (skip counting) and track running totals as objects change,Real-world Application",Sort and count pairs of classroom items (markers,blocks) maintaining running totals
Mathematics,COUNT001-02-F,Count objects in groups of 2 up to 20 (skip counting) and track running totals as objects change,Quantity Manipulation,Demonstrate how adding or removing pairs changes the total count within 20
Mathematics,COUNT001-02-G,"Count combined visible and hidden objects up to 10, including briefly shown then hidden sets",Memory Skills,Count and remember a set of 3-5 objects shown briefly then covered
Mathematics,COUNT001-02-G,"Count combined visible and hidden objects up to 10, including briefly shown then hidden sets",Visual Processing,Determine the total number of objects when some are visible and others are hidden under a cup (up to 10 total)
Mathematics,COUNT001-02-G,"Count combined visible and hidden objects up to 10, including briefly shown then hidden sets,Mental Math",Add visible and hidden groups of objects together mentally (e.g.,3 visible blocks plus 2 hidden blocks)
Mathematics,COUNT001-02-G,"Count combined visible and hidden objects up to 10, including briefly shown then hidden sets",Number Conservation,Understand that the total number remains the same when some objects are hidden from view
Mathematics,COUNT001-02-G,"Count combined visible and hidden objects up to 10, including briefly shown then hidden sets,Problem Solving",Solve simple word problems involving hidden and visible objects (e.g.,"""3 toys are in the box and 2 are on the table"")"
Mathematics,COUNT001-02-G,"Count combined visible and hidden objects up to 10, including briefly shown then hidden sets",Spatial Memory,Track the quantity of objects as they are moved between visible and hidden positions
Mathematics,COUNT001-02-G,"Count combined visible and hidden objects up to 10, including briefly shown then hidden sets,Number Composition",Decompose numbers up to 10 into visible and hidden parts (e.g.,7 as 4 visible and 3 hidden)
Mathematics,COUNT001-03-A,"Compare two groups of up to 5 objects using one-to-one correspondence and the terms ""more than,"" ""less than,"" and ""equal to""",Basic Comparison,Pair objects from two groups by matching them one-to-one to determine if groups are equal
Mathematics,COUNT001-03-A,"Compare two groups of up to 5 objects using one-to-one correspondence and the terms ""more than,"" ""less than,"" and ""equal to""",Vocabulary Development,"Use the terms ""more than"" correctly when comparing two unequal groups of objects where the difference is visible"
Mathematics,COUNT001-03-A,"Compare two groups of up to 5 objects using one-to-one correspondence and the terms ""more than,"" ""less than,"" and ""equal to""",Vocabulary Development,"Use the terms ""less than"" correctly when comparing two unequal groups of objects where the difference is visible"
Mathematics,COUNT001-03-A,"Compare two groups of up to 5 objects using one-to-one correspondence and the terms ""more than,"" ""less than,"" and ""equal to""",Quantitative Comparison,Determine whether two groups of differently arranged objects (up to 5) contain an equal number by matching one-to-one
Mathematics,COUNT001-03-A,"Compare two groups of up to 5 objects using one-to-one correspondence and the terms ""more than,"" ""less than,"" and ""equal to""",Real-world Application,Compare quantities of everyday items (such as crayons or blocks) using one-to-one correspondence and appropriate terminology
Mathematics,COUNT001-03-A,"Compare two groups of up to 5 objects using one-to-one correspondence and the terms ""more than,"" ""less than,"" and ""equal to""",Problem Solving,Identify how many more objects are needed to make two unequal groups equal (within 5 objects)
Mathematics,COUNT001-03-A,"Compare two groups of up to 5 objects using one-to-one correspondence and the terms ""more than,"" ""less than,"" and ""equal to""",Visual Recognition,Compare groups of objects arranged in different patterns and determine equality without counting
Mathematics,COUNT001-03-B,Compare two groups of 6-10 objects using visual patterns and one-to-one correspondence,Visual Comparison,Pair objects from two groups to determine which group has more or fewer items
Mathematics,COUNT001-03-B,Compare two groups of 6-10 objects using visual patterns and one-to-one correspondence,Quantity Recognition,Identify when two groups have equal amounts by matching objects one-to-one
Mathematics,COUNT001-03-B,Compare two groups of 6-10 objects using visual patterns and one-to-one correspondence,Pattern Analysis,Compare groups arranged in different patterns to determine if they have the same quantity
Mathematics,COUNT001-03-B,Compare two groups of 6-10 objects using visual patterns and one-to-one correspondence,Spatial Reasoning,Match objects in two groups using different spatial arrangements (horizontal vs. vertical lines)
Mathematics,COUNT001-03-B,Compare two groups of 6-10 objects using visual patterns and one-to-one correspondence,Real-world Application,Compare classroom items (such as crayons or blocks) to determine if groups are equal
Mathematics,COUNT001-03-B,Compare two groups of 6-10 objects using visual patterns and one-to-one correspondence,Numerical Relationships,Determine how many more or fewer objects are in one group compared to another
Mathematics,COUNT001-03-B,Compare two groups of 6-10 objects using visual patterns and one-to-one correspondence,Problem Solving,Solve simple story problems by comparing two groups of objects and determining equality or inequality
Mathematics,COUNT001-03-C,Compare two written numerals between 1-10 using number lines and visual representations,Number Comparison,Place two given numerals (1-10) in correct positions on a number line
Mathematics,COUNT001-03-C,Compare two written numerals between 1-10 using number lines and visual representations,Visual Representation,Use counting blocks or objects to represent and compare two written numbers
Mathematics,COUNT001-03-C,Compare two written numerals between 1-10 using number lines and visual representations,Number Relationships,Identify which of two written numbers is greater using a number line as reference
Mathematics,COUNT001-03-C,Compare two written numerals between 1-10 using number lines and visual representations,Spatial Understanding,Determine how many spaces apart two numbers are on a number line
Mathematics,COUNT001-03-C,"Compare two written numerals between 1-10 using number lines and visual representations,Symbol Usage,Use correct comparison symbols (<",>,=) to compare two numbers with number line support
Mathematics,COUNT001-03-C,"Compare two written numerals between 1-10 using number lines and visual representations,Real-world Application",Compare quantities of everyday objects (pencils,books) using visual aids and numerals
Mathematics,COUNT001-03-C,Compare two written numerals between 1-10 using number lines and visual representations,Problem Solving,Solve simple story problems requiring comparison of two numbers using visual supports
Mathematics,COUNT001-03-D,Order three or more numbers/groups (up to 10) from least to greatest or greatest to least,Number Sequence,Arrange three number cards (1-10) in ascending order on a number line
Mathematics,COUNT001-03-D,Order three or more numbers/groups (up to 10) from least to greatest or greatest to least,Visual Comparison,Order three groups of concrete objects (up to 10 items each) from smallest to largest quantity
Mathematics,COUNT001-03-D,Order three or more numbers/groups (up to 10) from least to greatest or greatest to least,Numerical Order,Sequence four written numerals (1-10) from greatest to least without manipulatives
Mathematics,COUNT001-03-D,"Order three or more numbers/groups (up to 10) from least to greatest or greatest to least,Real-world Application,Order three classroom groups (e.g., crayons",blocks,markers) by quantity and explain reasoning
Mathematics,COUNT001-03-D,"Order three or more numbers/groups (up to 10) from least to greatest or greatest to least,Comparative Language,Use terms ""least",""" ""greatest",""" and ""between"" correctly when describing ordered groups of objects"
Mathematics,COUNT001-03-D,Order three or more numbers/groups (up to 10) from least to greatest or greatest to least,Problem Solving,Determine missing number in an ordered sequence of three numbers from 1-10
Mathematics,COUNT001-03-D,Order three or more numbers/groups (up to 10) from least to greatest or greatest to least,Pattern Recognition,Create ascending and descending number patterns using three consecutive numbers within 10
Mathematics,COUNT001-03-E,"Use inequality symbols (<, >) correctly when comparing numbers up to 10 with justification",Symbol Recognition,Identify and name the greater than (>) and less than (<) symbols correctly
Mathematics,COUNT001-03-E,"Use inequality symbols (<, >) correctly when comparing numbers up to 10 with justification",Number Comparison,Compare two given numbers up to 10 using concrete objects and place the correct inequality symbol between them
Mathematics,COUNT001-03-E,"Use inequality symbols (<, >) correctly when comparing numbers up to 10 with justification",Visual Representation,Use pictures or drawings to explain why one number is greater than or less than another when using inequality symbols
Mathematics,COUNT001-03-E,"Use inequality symbols (<, >) correctly when comparing numbers up to 10 with justification,Problem Solving",Write a complete number sentence using inequality symbols to compare two numbers in real-world situations (e.g.,comparing quantities of classroom objects)
Mathematics,COUNT001-03-E,"Use inequality symbols (<, >) correctly when comparing numbers up to 10 with justification",Verbal Expression,"Explain orally why an inequality statement is true using phrases like ""is greater than"" or ""is less than"""
Mathematics,COUNT001-03-E,"Use inequality symbols (<, >) correctly when comparing numbers up to 10 with justification",Application,Create their own comparison problems using inequality symbols and justify their answers using counting strategies
Mathematics,COUNT001-03-E,"Use inequality symbols (<, >) correctly when comparing numbers up to 10 with justification",Error Analysis,Identify and correct incorrect use of inequality symbols in given number sentences
Mathematics,COUNT001-03-F,"Identify numbers that are ""one more"" or ""one less"" than a given number up to 20,Number Sequence",Given a number from 1-19,identify the number that comes next in the sequence
Mathematics,COUNT001-03-F,"Identify numbers that are ""one more"" or ""one less"" than a given number up to 20,Number Sequence",Given a number from 2-20,identify the number that comes before in the sequence
Mathematics,COUNT001-03-F,"Identify numbers that are ""one more"" or ""one less"" than a given number up to 20",Visual Representation,Use a number line to show one more or one less than a given number within 20
Mathematics,COUNT001-03-F,"Identify numbers that are ""one more"" or ""one less"" than a given number up to 20",Concrete Objects,Add or remove one object from a set and state the new quantity up to 20
Mathematics,COUNT001-03-F,"Identify numbers that are ""one more"" or ""one less"" than a given number up to 20",Problem Solving,Solve simple word problems involving one more or one less using numbers up to 20
Mathematics,COUNT001-03-F,"Identify numbers that are ""one more"" or ""one less"" than a given number up to 20",Real World Application,Use classroom situations to identify when a group has one more or one less student
Mathematics,COUNT001-03-F,"Identify numbers that are ""one more"" or ""one less"" than a given number up to 20",Mental Math,Quickly state one more or one less than a given number without using visual aids or counting
Mathematics,COUNT001-03-G,Compare two numbers between 11-20 using place value understanding and visual models,Number Recognition,Identify tens and ones in numbers 11-20 using base-ten blocks
Mathematics,COUNT001-03-G,Compare two numbers between 11-20 using place value understanding and visual models,Visual Representation,Use ten frames and counters to represent and compare two numbers between 11-20
Mathematics,COUNT001-03-G,"Compare two numbers between 11-20 using place value understanding and visual models,Comparison Skills,Use greater than, less than, or equal to symbols (>",<,=) to compare two numbers between 11-20
Mathematics,COUNT001-03-G,Compare two numbers between 11-20 using place value understanding and visual models,Place Value Understanding,Explain why one teen number is greater than another by referring to tens and ones
Mathematics,COUNT001-03-G,Compare two numbers between 11-20 using place value understanding and visual models,Real-world Application,Compare two groups of objects between 11-20 items and determine which has more or fewer
Mathematics,COUNT001-03-G,Compare two numbers between 11-20 using place value understanding and visual models,Number Relationships,Order three numbers between 11-20 from least to greatest using visual models
Mathematics,COUNT001-03-G,Compare two numbers between 11-20 using place value understanding and visual models,Problem Solving,Solve simple word problems involving comparing two numbers between 11-20 using visual aids
Mathematics,COUNT001-04-A,Recognize and name ordinal positions (first through fifth) in a simple line or sequence,Position Recognition,Identify the first position in a line of objects or people
Mathematics,COUNT001-04-A,Recognize and name ordinal positions (first through fifth) in a simple line or sequence,Sequence Understanding,Order objects from first to fifth using ordinal number words
Mathematics,COUNT001-04-A,Recognize and name ordinal positions (first through fifth) in a simple line or sequence,Visual Comprehension,Match ordinal number words (first-fifth) to corresponding positions in a picture sequence
Mathematics,COUNT001-04-A,Recognize and name ordinal positions (first through fifth) in a simple line or sequence,Real-world Application,Describe positions of classmates standing in line using ordinal numbers
Mathematics,COUNT001-04-A,Recognize and name ordinal positions (first through fifth) in a simple line or sequence,Problem Solving,Place objects in requested ordinal positions (first through fifth) following verbal instructions
Mathematics,COUNT001-04-A,Recognize and name ordinal positions (first through fifth) in a simple line or sequence,Integration Skills,Tell a story about events using ordinal numbers to describe the sequence of actions
Mathematics,COUNT001-04-B,Match ordinal number words (first through fifth) with their corresponding symbols (1st-5th),Symbol Recognition,Correctly pair written ordinal words (first-fifth) with their numerical symbols (1st-5th) on flashcards
Mathematics,COUNT001-04-B,Match ordinal number words (first through fifth) with their corresponding symbols (1st-5th),Visual Sequencing,Arrange objects in a line and label their positions using both ordinal words and symbols
Mathematics,COUNT001-04-B,Match ordinal number words (first through fifth) with their corresponding symbols (1st-5th),Reading Application,Connect ordinal number words in simple sentences to their corresponding symbols in a story context
Mathematics,COUNT001-04-B,"Match ordinal number words (first through fifth) with their corresponding symbols (1st-5th),Real-world Application,Identify positions in daily activities using both ordinal words and symbols (e.g.",lining up,race positions)
Mathematics,COUNT001-04-B,Match ordinal number words (first through fifth) with their corresponding symbols (1st-5th),Symbol Writing,Write the correct ordinal symbol when given the word form (first-fifth)
Mathematics,COUNT001-04-B,Match ordinal number words (first through fifth) with their corresponding symbols (1st-5th),Pattern Recognition,Complete sequences using alternating ordinal words and symbols in the correct order
Mathematics,COUNT001-04-B,Match ordinal number words (first through fifth) with their corresponding symbols (1st-5th),Game Application,Play matching games pairing ordinal words with their corresponding symbols in various contexts
Mathematics,COUNT001-04-C,Apply ordinal numbers (first through fifth) to daily routines and story sequences,Position Recognition,Correctly identify the first through fifth positions in a line of students during daily activities
Mathematics,COUNT001-04-C,Apply ordinal numbers (first through fifth) to daily routines and story sequences,Sequence Understanding,Retell a simple story using ordinal numbers to describe the sequence of events
Mathematics,COUNT001-04-C,"Apply ordinal numbers (first through fifth) to daily routines and story sequences,Daily Routines,Order morning routine activities using ordinal numbers (first wash hands",second eat breakfast,etc.)
Mathematics,COUNT001-04-C,Apply ordinal numbers (first through fifth) to daily routines and story sequences,Visual Sequencing,Place picture cards in order and label their positions using ordinal numbers first through fifth
Mathematics,COUNT001-04-C,Apply ordinal numbers (first through fifth) to daily routines and story sequences,Spatial Awareness,Describe the position of objects in a row using ordinal numbers (first through fifth)
Mathematics,COUNT001-04-C,Apply ordinal numbers (first through fifth) to daily routines and story sequences,Communication Skills,Use ordinal numbers to explain the steps in a simple classroom procedure
Mathematics,COUNT001-04-C,Apply ordinal numbers (first through fifth) to daily routines and story sequences,Problem Solving,Identify missing positions in a sequence when given ordinal number clues (first through fifth)
Mathematics,COUNT001-04-D,Extend ordinal number understanding to tenth position (sixth through tenth),Position Recognition,Identify and name positions from sixth to tenth in a single line of objects
Mathematics,COUNT001-04-D,Extend ordinal number understanding to tenth position (sixth through tenth),Sequence Understanding,Place objects in correct ordinal positions from sixth to tenth when given verbal instructions
Mathematics,COUNT001-04-D,Extend ordinal number understanding to tenth position (sixth through tenth),Symbol Recognition,Match ordinal number words (sixth-tenth) with their corresponding numerical symbols (6th-10th)
