Subject,SubskillID,SubskillDescription,ConceptGroup,DetailedObjective
Science,SCI001-01-F,"Demonstrate how objects can be moved without direct contact (magnets, air, water)",Force Comparison,Compare and contrast different invisible forces that can move objects without touching them
Science,SCI001-01-F,"Demonstrate how objects can be moved without direct contact (magnets, air, water)",Practical Application,Create a simple experiment showing how air or water can move objects across a surface
Science,SCI001-01-F,"Demonstrate how objects can be moved without direct contact (magnets, air, water)",Sensory Exploration,Use multiple senses to observe and describe how invisible forces cause movement
Science,SCI001-01-G,"Experiment with weight distribution and balance using simple tools (seesaws, scales)",Physical Exploration,Identify and describe what happens when objects of different weights are placed on opposite sides of a seesaw
Science,SCI001-01-G,"Experiment with weight distribution and balance using simple tools (seesaws, scales)",Comparative Measurement,Predict and demonstrate how changing object placement affects balance on a simple scale or seesaw
Science,SCI001-01-G,"Experiment with weight distribution and balance using simple tools (seesaws, scales)",Spatial Reasoning,Arrange multiple objects to create a balanced position on a seesaw or scale without adult assistance
Science,SCI001-01-G,"Experiment with weight distribution and balance using simple tools (seesaws, scales),Scientific Vocabulary,Use basic terms like ""heavy,"" ""light",""" ""balance",""" and ""weight"" to describe objects and their interactions"
Science,SCI001-01-G,"Experiment with weight distribution and balance using simple tools (seesaws, scales)",Problem-Solving,Experiment with different object combinations to achieve perfect balance on a classroom scale
Science,SCI001-01-G,"Experiment with weight distribution and balance using simple tools (seesaws, scales)",Observational Skills,Draw or verbally describe what happens when unequal weights are placed on different sides of a simple balance tool
Science,SCI001-01-H,"Create and explain simple force transfer systems (dominos, pulleys, chain reactions)",Force Initiation,Demonstrate how pushing the first domino causes a predictable chain reaction of falling objects
Science,SCI001-01-H,"Create and explain simple force transfer systems (dominos, pulleys, chain reactions)",Motion Understanding,Explain how one object's movement can cause another object to move without direct touching
Science,SCI001-01-H,"Create and explain simple force transfer systems (dominos, pulleys, chain reactions)",System Design,Construct a basic chain reaction using 5-7 connected objects that fall or move in sequence
Science,SCI001-01-H,"Create and explain simple force transfer systems (dominos, pulleys, chain reactions),Force Direction,Predict and demonstrate how force can be transferred in different directions (horizontal",vertical,diagonal)
Science,SCI001-01-H,"Create and explain simple force transfer systems (dominos, pulleys, chain reactions)",Cause and Effect,Verbally describe the relationship between initial force and resulting movement in a simple transfer system
Science,SCI001-01-H,"Create and explain simple force transfer systems (dominos, pulleys, chain reactions)",Spatial Reasoning,Arrange objects in a purposeful sequence to create a successful force transfer mechanism
Science,SCI001-01-H,"Create and explain simple force transfer systems (dominos, pulleys, chain reactions)",Problem Solving,Troubleshoot and adjust a chain reaction system when it fails to complete its expected sequence
Science,SCI001-02-A,"Sort and classify objects by basic observable properties (color, shape, size, texture),Color Classification,Correctly group objects into color categories (red, blue",green,yellow) with 90% accuracy
Science,SCI001-02-A,"Sort and classify objects by basic observable properties (color, shape, size, texture),Shape Recognition,Identify and sort basic geometric shapes (circle, square",triangle,rectangle) using physical sorting trays
Science,SCI001-02-A,"Sort and classify objects by basic observable properties (color, shape, size, texture)",Size Comparison,Arrange objects from smallest to largest within a given set of 5-6 items
Science,SCI001-02-A,"Sort and classify objects by basic observable properties (color, shape, size, texture),Texture Exploration,Categorize objects by touch into groups like smooth, rough",soft,and hard
Science,SCI001-02-A,"Sort and classify objects by basic observable properties (color, shape, size, texture),Multi-Property Sorting,Create sorting groups using two combined properties (e.g.",red circles,blue squares)
Science,SCI001-02-A,"Sort and classify objects by basic observable properties (color, shape, size, texture),Natural Object Classification,Sort and group natural materials like leaves",rocks,and shells by observable characteristics
Science,SCI001-02-B,"Identify and match common materials (wood, metal, plastic, fabric) in everyday objects",Material Recognition,Verbally name and point to at least 3 different materials when shown common household objects
Science,SCI001-02-B,"Identify and match common materials (wood, metal, plastic, fabric) in everyday objects,Sensory Exploration,Describe basic physical properties of different materials (smooth, rough",hard,soft) through touch and observation
Science,SCI001-02-B,"Identify and match common materials (wood, metal, plastic, fabric) in everyday objects,Categorization,Sort a collection of objects into 4 distinct material groups (wood, metal",plastic,fabric) with 80% accuracy
Science,SCI001-02-B,"Identify and match common materials (wood, metal, plastic, fabric) in everyday objects,Practical Application,Match common objects to their primary material (e.g., wooden chair, metal spoon",plastic cup,fabric shirt)
Science,SCI001-02-B,"Identify and match common materials (wood, metal, plastic, fabric) in everyday objects,Material Origins,Identify the source of basic materials (wood from trees, metal from mining",plastic from factories,fabric from plants or synthetic sources)
Science,SCI001-02-B,"Identify and match common materials (wood, metal, plastic, fabric) in everyday objects,Comparative Analysis,Explain simple differences between materials using age-appropriate language (metal is cold",wood is warm,plastic can be flexible)
Science,SCI001-02-C,"Investigate basic material properties (magnetic attraction, floating/sinking, light reflection)",Magnetic Exploration,Predict and test which objects in the classroom will be attracted to a magnet
Science,SCI001-02-C,"Investigate basic material properties (magnetic attraction, floating/sinking, light reflection)",Floating and Sinking,Classify objects as floating or sinking when placed in water through hands-on experimentation
Science,SCI001-02-C,"Investigate basic material properties (magnetic attraction, floating/sinking, light reflection)",Light Interaction,Observe and describe how different surfaces reflect or absorb light using simple objects
Science,SCI001-02-C,"Investigate basic material properties (magnetic attraction, floating/sinking, light reflection),Material Comparison,Sort objects into groups based on their observable physical properties (magnetic, non-magnetic",floats,sinks)
Science,SCI001-02-C,"Investigate basic material properties (magnetic attraction, floating/sinking, light reflection)",Prediction Skills,Make and test simple predictions about how different materials will interact with magnets and water
Science,SCI001-02-C,"Investigate basic material properties (magnetic attraction, floating/sinking, light reflection),Scientific Vocabulary,Use basic science words to describe material properties (magnetic, float, sink",reflect,shine)
Science,SCI001-02-C,"Investigate basic material properties (magnetic attraction, floating/sinking, light reflection)",Sensory Exploration,Use multiple senses to investigate and compare different material properties through guided scientific inquiry
Science,SCI001-02-D,"Test and compare material characteristics (flexibility, strength, water absorption),Material Exploration,Identify and sort basic materials (paper, cloth",plastic,wood) by their observable physical properties
Science,SCI001-02-D,"Test and compare material characteristics (flexibility, strength, water absorption)",Flexibility Assessment,Demonstrate understanding of material flexibility by bending and manipulating different objects without breaking
Science,SCI001-02-D,"Test and compare material characteristics (flexibility, strength, water absorption)",Water Interaction,Predict and test which materials absorb water and which repel water through simple hands-on experiments
Science,SCI001-02-D,"Test and compare material characteristics (flexibility, strength, water absorption)",Strength Comparison,Compare the strength of different materials by testing how much weight or pressure they can withstand
Science,SCI001-02-D,"Test and compare material characteristics (flexibility, strength, water absorption)",Material Selection,Choose appropriate materials for simple design challenges based on their observed physical properties
Science,SCI001-02-D,"Test and compare material characteristics (flexibility, strength, water absorption),Descriptive Vocabulary,Use age-appropriate scientific vocabulary to describe material characteristics (soft, hard",bendy,stiff)
Science,SCI001-02-D,"Test and compare material characteristics (flexibility, strength, water absorption)",Comparative Analysis,Create simple charts or drawings to record observations about different materials' characteristics
Science,SCI001-02-E,"Explore light interaction with materials (transparent, translucent, opaque),Observation Skills,Identify and sort objects as transparent",translucent,or opaque by observing light passing through them
Science,SCI001-02-E,"Explore light interaction with materials (transparent, translucent, opaque)",Material Classification,Demonstrate understanding of how different materials allow different amounts of light to pass through
Science,SCI001-02-E,"Explore light interaction with materials (transparent, translucent, opaque)",Experimental Exploration,Conduct simple experiments using flashlights to explore how light interacts with various household objects
Science,SCI001-02-E,"Explore light interaction with materials (transparent, translucent, opaque),Comparative Analysis,Compare and contrast the light-passing properties of common materials like glass",wax paper,and cardboard
Science,SCI001-02-E,"Explore light interaction with materials (transparent, translucent, opaque)",Practical Application,Predict and explain why certain materials are used in everyday objects based on their light-interaction properties
Science,SCI001-02-E,"Explore light interaction with materials (transparent, translucent, opaque)",Sensory Learning,Use multiple senses to describe how light behaves when passing through different types of materials
Science,SCI001-02-F,"Recognize and describe the three states of matter (solid, liquid, gas) through observation,Physical Properties,Identify and sort common objects into solid",liquid,or gas states using simple classroom materials
Science,SCI001-02-F,"Recognize and describe the three states of matter (solid, liquid, gas) through observation,State Transformation,Observe and describe how water can change between solid (ice)",liquid,and gas (steam) states through simple demonstrations
Science,SCI001-02-F,"Recognize and describe the three states of matter (solid, liquid, gas) through observation",Everyday Examples,Provide at least three real-world examples of each state of matter found in the classroom or home environment
Science,SCI001-02-F,"Recognize and describe the three states of matter (solid, liquid, gas) through observation,Physical Characteristics,Describe basic observable characteristics of solids, liquids, and gases (shape",movement,containment)
Science,SCI001-02-F,"Recognize and describe the three states of matter (solid, liquid, gas) through observation,Comparative Analysis,Compare and contrast the behaviors of different substances in solid",liquid,and gas states through hands-on exploration
Science,SCI001-02-F,"Recognize and describe the three states of matter (solid, liquid, gas) through observation,Sensory Investigation,Use multiple senses to explore and describe the properties of different states of matter (touch",observe movement,listen to sounds)
Science,SCI001-02-F,"Recognize and describe the three states of matter (solid, liquid, gas) through observation,Scientific Vocabulary,Use age-appropriate vocabulary to describe the basic properties of solids",liquids,and gases
Science,SCI001-02-G,"Demonstrate how materials change with temperature (melting, freezing, softening)",Observation Skills,Identify visual changes in different materials when heated or cooled
Science,SCI001-02-G,"Demonstrate how materials change with temperature (melting, freezing, softening)",Experimental Exploration,Predict and observe what happens to ice cubes when left at room temperature
Science,SCI001-02-G,"Demonstrate how materials change with temperature (melting, freezing, softening)",Material Transformation,Describe how butter changes from solid to liquid when heated
Science,SCI001-02-G,"Demonstrate how materials change with temperature (melting, freezing, softening)",Temperature Interaction,Sort objects into groups that change state when heated or cooled
Science,SCI001-02-G,"Demonstrate how materials change with temperature (melting, freezing, softening)",Sensory Learning,Use simple tools to measure and compare temperature changes in different materials
Science,SCI001-02-G,"Demonstrate how materials change with temperature (melting, freezing, softening)",Practical Application,Explain how temperature affects everyday objects like chocolate or candle wax
Science,SCI001-02-G,"Demonstrate how materials change with temperature (melting, freezing, softening),Scientific Vocabulary,Use age-appropriate terms like ""melt",""" ""freeze",""" and ""solid"" when describing material changes"
Science,SCI001-02-H,Explore simple combinations of materials and their resulting properties,Material Mixing,Predict basic changes when combining different materials like water and sand
Science,SCI001-02-H,"Explore simple combinations of materials and their resulting properties,Physical Transformation,Observe and describe how materials change when mixed (dissolving",blending,separating)
Science,SCI001-02-H,Explore simple combinations of materials and their resulting properties,Sensory Exploration,Use multiple senses to compare properties of different material combinations
Science,SCI001-02-H,Explore simple combinations of materials and their resulting properties,Scientific Inquiry,Record simple observations about material interactions using drawings or basic written descriptions
Science,SCI001-02-H,Explore simple combinations of materials and their resulting properties,Experimental Thinking,Conduct simple experiments mixing different materials and discuss unexpected results
Science,SCI001-02-H,Explore simple combinations of materials and their resulting properties,Material Classification,Sort and group materials based on their properties after combining them
Science,SCI001-02-H,"Explore simple combinations of materials and their resulting properties,Cause and Effect,Identify how different combinations of materials produce unique textures",colors,or states
Science,SCI001-03-A,"Identify objects that need energy to work versus those that don't (e.g., flashlight vs. pencil)",Basic Identification,"Sort and group objects into ""needs energy"" and ""doesn't need energy"" categories"
Science,SCI001-03-A,"Identify objects that need energy to work versus those that don't (e.g., flashlight vs. pencil),Energy Sources,Recognize common energy sources like batteries",electricity,and human/animal power
Science,SCI001-03-A,"Identify objects that need energy to work versus those that don't (e.g., flashlight vs. pencil),Everyday Examples,Identify household items that require electricity to function (TV",radio,lamp)
Science,SCI001-03-A,"Identify objects that need energy to work versus those that don't (e.g., flashlight vs. pencil)",Physical Interaction,Demonstrate how some objects move or light up when given energy while others remain static
Science,SCI001-03-A,"Identify objects that need energy to work versus those that don't (e.g., flashlight vs. pencil)",Comparative Analysis,Explain the difference between powered and non-powered objects using simple descriptive language
Science,SCI001-03-A,"Identify objects that need energy to work versus those that don't (e.g., flashlight vs. pencil)",Interactive Learning,Participate in hands-on sorting activities to distinguish between energy-dependent and non-energy-dependent objects
Science,SCI001-03-B,"Demonstrate how our bodies use energy for movement through pushing, pulling, walking, and running,Basic Movement,Identify and perform basic physical movements including pushing, pulling",walking,and running
Science,SCI001-03-B,"Demonstrate how our bodies use energy for movement through pushing, pulling, walking, and running",Energy Awareness,Explain in simple terms that our body uses energy to make muscles move during different activities
Science,SCI001-03-B,"Demonstrate how our bodies use energy for movement through pushing, pulling, walking, and running",Movement Comparison,Compare and contrast the amount of energy used when walking versus running
Science,SCI001-03-B,"Demonstrate how our bodies use energy for movement through pushing, pulling, walking, and running",Physical Interaction,Demonstrate pushing and pulling objects of different weights to understand how energy is used
Science,SCI001-03-B,"Demonstrate how our bodies use energy for movement through pushing, pulling, walking, and running,Movement Sequence,Create a simple movement sequence that includes walking, running",pushing,and pulling actions
Science,SCI001-03-B,"Demonstrate how our bodies use energy for movement through pushing, pulling, walking, and running",Energy Source,Describe how food provides the energy needed for body movements through simple illustrations or verbal explanations
Science,SCI001-03-C,"Recognize and name basic forms of energy (light, heat, sound) in everyday situations,Light Energy,Identify light sources like the sun",flashlights,and lamps
Science,SCI001-03-C,"Recognize and name basic forms of energy (light, heat, sound) in everyday situations,Heat Energy,Describe how heat makes objects warm, such as a stove",fireplace,or sunlight
Science,SCI001-03-C,"Recognize and name basic forms of energy (light, heat, sound) in everyday situations,Sound Energy,Distinguish between loud and soft sounds from different objects like bells",drums,and whispers
Science,SCI001-03-C,"Recognize and name basic forms of energy (light, heat, sound) in everyday situations,Energy Comparison,Sort pictures of objects that produce light",heat,or sound into matching category groups
Science,SCI001-03-C,"Recognize and name basic forms of energy (light, heat, sound) in everyday situations",Sensory Exploration,Use senses to demonstrate understanding of how different energy forms are experienced in daily life
Science,SCI001-03-C,"Recognize and name basic forms of energy (light, heat, sound) in everyday situations",Sound Source Identification,Point to and name the source of a sound when hearing different audio examples
Science,SCI001-03-D,"Match common energy sources (sun, batteries, electricity) to devices and explore simple examples of energy transfer,Energy Source Identification,Correctly identify and name three basic energy sources: sunlight",batteries,and electrical outlets
Science,SCI001-03-D,"Match common energy sources (sun, batteries, electricity) to devices and explore simple examples of energy transfer,Device Matching,Pair at least 3 common household devices with their corresponding energy source (e.g., solar calculator with sun",flashlight with batteries,lamp with electricity)
Science,SCI001-03-D,"Match common energy sources (sun, batteries, electricity) to devices and explore simple examples of energy transfer,Energy Transfer Demonstration",Describe a simple example of energy transfer,such as how sunlight helps a plant grow or how batteries power a toy
Science,SCI001-03-D,"Match common energy sources (sun, batteries, electricity) to devices and explore simple examples of energy transfer",Comparative Understanding,Explain the difference between renewable (sun) and stored (batteries) energy sources using age-appropriate language
Science,SCI001-03-D,"Match common energy sources (sun, batteries, electricity) to devices and explore simple examples of energy transfer",Practical Application,Sort a collection of objects into groups based on their energy source during a hands-on sorting activity
Science,SCI001-03-D,"Match common energy sources (sun, batteries, electricity) to devices and explore simple examples of energy transfer,Energy in Nature",Identify at least two examples of how the sun provides energy to living things (plants,animals) through simple observations
Science,SCI001-03-E,Investigate light energy through shadow creation and material transparency experiments,Shadow Formation,Demonstrate how blocking light creates a shadow by standing between a light source and a white surface
Science,SCI001-03-E,"Investigate light energy through shadow creation and material transparency experiments,Material Properties,Classify objects as transparent",translucent,or opaque by observing light passage through different materials
Science,SCI001-03-E,Investigate light energy through shadow creation and material transparency experiments,Shadow Manipulation,Predict and change shadow size by moving closer to or further from a light source
Science,SCI001-03-E,Investigate light energy through shadow creation and material transparency experiments,Light Interaction,Explain how different materials allow varying amounts of light to pass through them
Science,SCI001-03-E,Investigate light energy through shadow creation and material transparency experiments,Experimental Skills,Create and draw simple shadow shapes using hands and basic objects during a guided exploration activity
Science,SCI001-03-E,Investigate light energy through shadow creation and material transparency experiments,Comparative Analysis,Compare and describe the differences in shadow formation using various light sources and objects
Science,SCI001-03-F,"Explore sound energy through simple instruments and sound-blocking materials,Sound Production,Create sounds using basic musical instruments like rhythm sticks",tambourines,and shakers
Science,SCI001-03-F,"Explore sound energy through simple instruments and sound-blocking materials,Sound Observation,Describe the different sounds produced by various objects when tapped",shaken,or blown
Science,SCI001-03-F,"Explore sound energy through simple instruments and sound-blocking materials,Sound Blocking,Experiment with different materials (cotton",cardboard,foam) to block or muffle sounds
Science,SCI001-03-F,Explore sound energy through simple instruments and sound-blocking materials,Volume Exploration,Demonstrate how to make sounds louder or softer using simple instruments
Science,SCI001-03-F,Explore sound energy through simple instruments and sound-blocking materials,Sound Comparison,Compare and contrast sounds from different objects and instruments
Science,SCI001-03-F,Explore sound energy through simple instruments and sound-blocking materials,Sound Source Identification,Identify the source of different sounds in the classroom environment
Science,SCI001-03-F,Explore sound energy through simple instruments and sound-blocking materials,Vibration Understanding,Observe and describe how objects vibrate when making sounds
Science,SCI001-03-G,Conduct basic heat energy experiments using sunlight and different colored surfaces,Heat Absorption,Predict which colored surface will absorb more sunlight by comparing dark and light colors
Science,SCI001-03-G,Conduct basic heat energy experiments using sunlight and different colored surfaces,Observation Skills,Use simple thermometers to measure temperature changes on different colored surfaces exposed to sunlight
Science,SCI001-03-G,Conduct basic heat energy experiments using sunlight and different colored surfaces,Scientific Inquiry,Record and draw observations about how different surface colors change temperature when exposed to sunlight
Science,SCI001-03-G,"Conduct basic heat energy experiments using sunlight and different colored surfaces,Comparative Analysis,Compare temperature differences between black",white,and colored surfaces after 10-15 minutes of sun exposure
Science,SCI001-03-G,Conduct basic heat energy experiments using sunlight and different colored surfaces,Experimental Design,Create a simple experiment using different colored paper or fabric to demonstrate heat absorption
Science,SCI001-03-G,Conduct basic heat energy experiments using sunlight and different colored surfaces,Sensory Learning,Use touch to safely compare warmth of different colored surfaces after sun exposure
Science,SCI001-03-G,Conduct basic heat energy experiments using sunlight and different colored surfaces,Cause and Effect,Explain how darker colors absorb more heat energy from sunlight compared to lighter colors
Science,SCI001-03-H,"Create simple energy-based devices (pinwheels, circuits with batteries) to demonstrate energy conversion",Basic Device Construction,Construct a simple paper pinwheel and observe how wind creates rotational motion
Science,SCI001-03-H,"Create simple energy-based devices (pinwheels, circuits with batteries) to demonstrate energy conversion",Energy Transformation,Explain how wind energy transforms into mechanical energy when a pinwheel spins
Science,SCI001-03-H,"Create simple energy-based devices (pinwheels, circuits with batteries) to demonstrate energy conversion",Electrical Circuits,Connect a simple battery-powered circuit to light a small bulb and describe the path of electrical energy
Science,SCI001-03-H,"Create simple energy-based devices (pinwheels, circuits with batteries) to demonstrate energy conversion,Energy Sources,Identify different energy sources that can make simple devices move or light up (wind",batteries,solar)
Science,SCI001-03-H,"Create simple energy-based devices (pinwheels, circuits with batteries) to demonstrate energy conversion",Cause and Effect,Predict and observe how changing wind strength or battery connection affects device movement
Science,SCI001-03-H,"Create simple energy-based devices (pinwheels, circuits with batteries) to demonstrate energy conversion",Hands-on Exploration,Experiment with creating pinwheels using different materials to understand how design impacts energy transfer
Science,SCI002-01-A,"Identify and name basic plant parts (roots, stem, leaves, flower, seeds) through observation of real specimens",Plant Anatomy Recognition,Point to and verbally name at least 3 different plant parts when shown a live plant
Science,SCI002-01-A,"Identify and name basic plant parts (roots, stem, leaves, flower, seeds) through observation of real specimens",Sensory Exploration,Describe the texture and color of at least two different plant parts using descriptive vocabulary
Science,SCI002-01-A,"Identify and name basic plant parts (roots, stem, leaves, flower, seeds) through observation of real specimens,Functional Understanding,Explain a simple function of at least one plant part (e.g.",roots drink water,leaves make food)
Science,SCI002-01-A,"Identify and name basic plant parts (roots, stem, leaves, flower, seeds) through observation of real specimens",Comparative Learning,Sort and group plant specimens based on visible parts and characteristics
Science,SCI002-01-A,"Identify and name basic plant parts (roots, stem, leaves, flower, seeds) through observation of real specimens",Observational Skills,Draw a simple diagram of a plant showing at least 3 different basic parts with labels
Science,SCI002-01-A,"Identify and name basic plant parts (roots, stem, leaves, flower, seeds) through observation of real specimens",Hands-on Investigation,Use simple magnifying tools to observe and describe details of different plant parts
Science,SCI002-01-A,"Identify and name basic plant parts (roots, stem, leaves, flower, seeds) through observation of real specimens",Comparative Thinking,Match different types of plants to their specific parts and functions
Science,SCI002-01-B,"Recognize basic needs of plants and animals (food, water, light, air) and how they obtain them,Basic Needs Identification,Correctly identify and name four basic needs (food, water",light,air) for both plants and animals
Science,SCI002-01-B,"Recognize basic needs of plants and animals (food, water, light, air) and how they obtain them",Observation Skills,Draw and label simple diagrams showing how plants get water through roots and sunlight through leaves
Science,SCI002-01-B,"Recognize basic needs of plants and animals (food, water, light, air) and how they obtain them,Comparative Understanding,Explain different ways animals obtain food (hunting",grazing,eating from plants) using simple examples
Science,SCI002-01-B,"Recognize basic needs of plants and animals (food, water, light, air) and how they obtain them",Practical Application,Participate in a classroom plant or animal care activity demonstrating understanding of basic needs
Science,SCI002-01-B,"Recognize basic needs of plants and animals (food, water, light, air) and how they obtain them",Environmental Awareness,Describe how living things get air and why it is important for survival using age-appropriate language
Science,SCI002-01-B,"Recognize basic needs of plants and animals (food, water, light, air) and how they obtain them,Sensory Learning,Use hands-on experiments to show how plants grow when given water",light,and air
Science,SCI002-01-C,"Classify animals by physical characteristics (fur, feathers, scales) and movement patterns (walk, fly, swim),Animal Covering Identification,Correctly identify and name three different animal coverings (fur",feathers,scales) when shown pictures of various animals
Science,SCI002-01-C,"Classify animals by physical characteristics (fur, feathers, scales) and movement patterns (walk, fly, swim),Movement Classification,Sort animal picture cards into three movement groups: walking",flying,and swimming animals
Science,SCI002-01-C,"Classify animals by physical characteristics (fur, feathers, scales) and movement patterns (walk, fly, swim)",Comparative Analysis,Match at least two animals with similar physical characteristics or movement patterns
Science,SCI002-01-C,"Classify animals by physical characteristics (fur, feathers, scales) and movement patterns (walk, fly, swim)",Physical Characteristics Sorting,Create a simple chart or diagram grouping animals by their body coverings (fur/feathers/scales)
Science,SCI002-01-C,"Classify animals by physical characteristics (fur, feathers, scales) and movement patterns (walk, fly, swim),Movement Exploration,Demonstrate different animal movements by acting out how animals walk",fly,or swim
Science,SCI002-01-C,"Classify animals by physical characteristics (fur, feathers, scales) and movement patterns (walk, fly, swim)",Animal Adaptation Understanding,Explain a simple way an animal's physical covering helps it survive in its environment
Science,SCI002-01-D,"Match animal body parts to their functions and survival purposes (wings/flying, fins/swimming, claws/hunting),Body Part Identification,Correctly identify and name at least 3 different animal body parts (wings",fins,claws) when shown pictures
Science,SCI002-01-D,"Match animal body parts to their functions and survival purposes (wings/flying, fins/swimming, claws/hunting),Functional Understanding",Describe a simple purpose for 2-3 animal body parts (e.g.,"""Birds use wings to fly in the sky"")"
