Subject,SubskillID,SubskillDescription,ConceptGroup,DetailedObjective
Language Arts,LA001-01-D,"Distinguish between letters, words, and spaces in printed text",Print Awareness,Explain that words are made up of letters and are separated by spaces in written text
Language Arts,LA001-01-D,"Distinguish between letters, words, and spaces in printed text",Tactile Learning,Trace letters and words while verbally identifying the difference between individual letters and complete words
Language Arts,LA001-01-D,"Distinguish between letters, words, and spaces in printed text",Comparative Skills,Count the number of letters in a word and distinguish between short and long words in a simple sentence
Language Arts,LA001-01-D,"Distinguish between letters, words, and spaces in printed text,Interactive Practice,Play a sorting game where printed cards with letters",words,and spaces are categorized correctly
Language Arts,LA001-01-D,"Distinguish between letters, words, and spaces in printed text,Comprehension Skill,Demonstrate understanding by reading a simple sentence and pointing to specific letters",words,and spaces when prompted
Language Arts,LA001-01-E,Track text with finger while listening to reading at appropriate pace,Directionality,Demonstrate left-to-right reading direction by consistently moving finger from left side of page to right
Language Arts,LA001-01-E,Track text with finger while listening to reading at appropriate pace,Tracking Skills,Follow individual words with finger while maintaining synchronization with read-aloud pace
Language Arts,LA001-01-E,"Track text with finger while listening to reading at appropriate pace,Print Awareness,Identify the difference between words",spaces,and letters while tracing text
Language Arts,LA001-01-E,Track text with finger while listening to reading at appropriate pace,Fine Motor Skills,Develop finger control to smoothly slide along text lines without losing place
Language Arts,LA001-01-E,Track text with finger while listening to reading at appropriate pace,Comprehension Connection,Match spoken words to printed text by accurately pointing to corresponding words during reading
Language Arts,LA001-01-E,Track text with finger while listening to reading at appropriate pace,Page Navigation,Independently turn pages and resume finger tracking at correct line when prompted
Language Arts,LA001-01-E,Track text with finger while listening to reading at appropriate pace,Visual Tracking,Maintain consistent finger movement across multiple lines of text without significant interruption
Language Arts,LA001-01-F,"Identify basic punctuation marks (period, question mark, exclamation point) and their purposes,Visual Recognition,Correctly point to and name three basic punctuation marks (period",question mark,exclamation point) when shown in printed text
Language Arts,LA001-01-F,"Identify basic punctuation marks (period, question mark, exclamation point) and their purposes",Spoken Interpretation,Demonstrate understanding of punctuation by changing voice tone when reading sentences ending with different punctuation marks
Language Arts,LA001-01-F,"Identify basic punctuation marks (period, question mark, exclamation point) and their purposes,Meaning Comprehension,Explain the basic purpose of each punctuation mark (period stops a sentence",question mark shows a question,exclamation point shows excitement)
Language Arts,LA001-01-F,"Identify basic punctuation marks (period, question mark, exclamation point) and their purposes",Practical Application,Independently add the correct punctuation mark to the end of simple sentences when dictated
Language Arts,LA001-01-F,"Identify basic punctuation marks (period, question mark, exclamation point) and their purposes",Reading Fluency,Read simple sentences aloud and pause appropriately based on the punctuation mark at the end of each sentence
Language Arts,LA001-01-F,"Identify basic punctuation marks (period, question mark, exclamation point) and their purposes",Context Understanding,Match spoken sentences to their corresponding punctuation mark by listening to the sentence's tone and meaning
Language Arts,LA001-01-G,Recognize and count words within printed sentences,Word Awareness,Identify and point to individual words in a simple picture book sentence
Language Arts,LA001-01-G,Recognize and count words within printed sentences,Counting Technique,Use a finger to track and count words in a short 3-5 word sentence
Language Arts,LA001-01-G,Recognize and count words within printed sentences,Sentence Structure,Demonstrate understanding that sentences are made up of distinct words by clapping once for each word heard
Language Arts,LA001-01-G,Recognize and count words within printed sentences,Visual Discrimination,Distinguish between words and other print elements like punctuation marks when counting
Language Arts,LA001-01-G,Recognize and count words within printed sentences,Verbal Comprehension,Verbally state the total number of words in a simple printed sentence after careful counting
Language Arts,LA001-01-G,Recognize and count words within printed sentences,Interactive Learning,Play word-counting games using large-print sentences with varying word lengths
Language Arts,LA001-01-G,Recognize and count words within printed sentences,Comparative Skills,Compare and contrast sentence lengths by counting words in different printed texts
Language Arts,LA001-01-H,"Identify complete sentences, including capital letters and ending punctuation",Sentence Structure,Recognize that a complete sentence begins with a capital letter
Language Arts,LA001-01-H,"Identify complete sentences, including capital letters and ending punctuation,Punctuation Awareness,Identify and point to ending punctuation marks (period",question mark,exclamation point) in simple text
Language Arts,LA001-01-H,"Identify complete sentences, including capital letters and ending punctuation",Sentence Completion,Demonstrate understanding of sentence completeness by circling sentences with proper capitalization and ending punctuation
Language Arts,LA001-01-H,"Identify complete sentences, including capital letters and ending punctuation",Capitalization Skills,Distinguish between capitalized and lowercase letters at the beginning of sentences
Language Arts,LA001-01-H,"Identify complete sentences, including capital letters and ending punctuation",Sentence Discrimination,Differentiate between complete sentences and word fragments by identifying essential sentence components
Language Arts,LA001-01-H,"Identify complete sentences, including capital letters and ending punctuation",Interactive Learning,Verbally explain why a sentence is complete by pointing out its capital letter and ending punctuation mark
Language Arts,LA001-01-I,Connect spoken words to their written representations in text,Word Recognition,Point to individual words on a page as they are being read aloud
Language Arts,LA001-01-I,Connect spoken words to their written representations in text,Print Tracking,Follow text from left to right while listening to a story being read
Language Arts,LA001-01-I,Connect spoken words to their written representations in text,Sight Word Matching,Identify and match spoken sight words with their written form in a simple text
Language Arts,LA001-01-I,"Connect spoken words to their written representations in text,Environmental Print,Recognize common written words from signs",labels,and packaging in everyday environments
Language Arts,LA001-01-I,Connect spoken words to their written representations in text,Interactive Reading,Use a finger to point to each word as it is spoken during shared reading experiences
Language Arts,LA001-01-I,Connect spoken words to their written representations in text,Sound-Symbol Connection,Match individual spoken sounds to their corresponding written letters in simple words
Language Arts,LA001-03-A,Match and identify uppercase and lowercase letters in text,Letter Identification,Correctly identify and name at least 20 uppercase and lowercase letters when shown individually
Language Arts,LA001-03-A,Match and identify uppercase and lowercase letters in text,Letter Matching,Match corresponding uppercase and lowercase letters with 90% accuracy using visual comparison
Language Arts,LA001-03-A,"Match and identify uppercase and lowercase letters in text,Environmental Print,Recognize and identify uppercase and lowercase letters in common signs",labels,and book titles
Language Arts,LA001-03-A,Match and identify uppercase and lowercase letters in text,Letter Formation,Demonstrate understanding of letter pairs by drawing or tracing both uppercase and lowercase versions of letters
Language Arts,LA001-03-A,Match and identify uppercase and lowercase letters in text,Alphabetic Sequence,Arrange uppercase and lowercase letter cards in correct alphabetical order with minimal assistance
Language Arts,LA001-03-A,Match and identify uppercase and lowercase letters in text,Interactive Learning,Use digital or physical letter matching games to reinforce uppercase and lowercase letter recognition
Language Arts,LA001-03-A,Match and identify uppercase and lowercase letters in text,Contextual Recognition,Identify uppercase and lowercase letters within simple printed text or storybooks
Language Arts,LA001-03-B,Demonstrate one-to-one letter-sound correspondences for consonants and vowels,Consonant Sound Identification,Correctly identify and pronounce the initial sound of at least 20 common consonants when shown their corresponding letter
Language Arts,LA001-03-B,"Demonstrate one-to-one letter-sound correspondences for consonants and vowels,Vowel Sound Matching,Match short vowel sounds (a, e, i",o,u) to their corresponding written letters with 80% accuracy
Language Arts,LA001-03-B,Demonstrate one-to-one letter-sound correspondences for consonants and vowels,Sound-Word Connection,Verbally generate 3-5 words that begin with a specific consonant sound when given the letter
Language Arts,LA001-03-B,Demonstrate one-to-one letter-sound correspondences for consonants and vowels,Letter-Sound Blending,Blend individual letter sounds to read simple one-syllable consonant-vowel-consonant (CVC) words
Language Arts,LA001-03-B,Demonstrate one-to-one letter-sound correspondences for consonants and vowels,Auditory Discrimination,Distinguish between similar consonant sounds (like /b/ and /p/ or /m/ and /n/) when spoken or shown
Language Arts,LA001-03-B,Demonstrate one-to-one letter-sound correspondences for consonants and vowels,Interactive Sound Practice,Use manipulative letters to match sounds with their corresponding written symbols in guided learning activities
Language Arts,LA001-03-C,Distinguish between long and short vowel sounds in single-syllable words,Phonemic Awareness,Orally identify and produce the difference between long and short vowel sounds in spoken words
Language Arts,LA001-03-C,Distinguish between long and short vowel sounds in single-syllable words,Sound Discrimination,Use visual cues like vowel markers (silent e) to recognize long vowel sounds in simple words
Language Arts,LA001-03-C,Distinguish between long and short vowel sounds in single-syllable words,Word Sorting,Categorize picture cards into groups of words with long and short vowel sounds
Language Arts,LA001-03-C,Distinguish between long and short vowel sounds in single-syllable words,Listening Comprehension,Listen to spoken words and correctly circle or point to corresponding long or short vowel sound images
Language Arts,LA001-03-C,"Distinguish between long and short vowel sounds in single-syllable words,Phonetic Manipulation",Verbally transform short vowel words to long vowel words by adding or changing letters (e.g.,"""cap"" to ""cape"")"
Language Arts,LA001-03-C,Distinguish between long and short vowel sounds in single-syllable words,Interactive Learning,Play vowel sound matching games that reinforce the difference between long and short vowel pronunciations
Language Arts,LA001-03-C,Distinguish between long and short vowel sounds in single-syllable words,Sound Blending,Blend individual letter sounds with correct long or short vowel pronunciation to create simple words
Language Arts,LA001-03-D,"Blend and segment individual sounds (phonemes) in simple CVC words using manipulatives,Phonemic Awareness,Correctly identify and isolate beginning",middle,and ending sounds in three-letter words using letter tiles
Language Arts,LA001-03-D,Blend and segment individual sounds (phonemes) in simple CVC words using manipulatives,Sound Manipulation,Physically blend individual letter sounds into complete CVC words using magnetic letters or sound cubes
Language Arts,LA001-03-D,Blend and segment individual sounds (phonemes) in simple CVC words using manipulatives,Auditory Discrimination,Verbally segment a spoken CVC word into its individual phonemes with 80% accuracy
Language Arts,LA001-03-D,Blend and segment individual sounds (phonemes) in simple CVC words using manipulatives,Interactive Learning,Create simple CVC words by matching and moving sound manipulatives in response to verbal instructions
Language Arts,LA001-03-D,Blend and segment individual sounds (phonemes) in simple CVC words using manipulatives,Sound Sequencing,Arrange letter manipulatives in correct order to represent the sounds heard in a spoken three-letter word
Language Arts,LA001-03-D,Blend and segment individual sounds (phonemes) in simple CVC words using manipulatives,Phonetic Awareness,Independently decode and pronounce at least 10 different CVC words using hands-on letter manipulation techniques
Language Arts,LA001-03-E,Read common high-frequency sight words in isolation and simple text,Word Recognition,Identify and read at least 25 common sight words accurately when shown individually
Language Arts,LA001-03-E,Read common high-frequency sight words in isolation and simple text,Text Comprehension,Recognize and read sight words within simple 3-5 word sentences with 80% accuracy
Language Arts,LA001-03-E,Read common high-frequency sight words in isolation and simple text,Contextual Learning,Use visual context clues to decode and read unfamiliar sight words in picture books
Language Arts,LA001-03-E,Read common high-frequency sight words in isolation and simple text,Interactive Reading,Confidently read sight words aloud during shared reading activities with teacher guidance
Language Arts,LA001-03-E,Read common high-frequency sight words in isolation and simple text,Word Memory,Demonstrate ability to recall and write 15-20 previously learned sight words from memory
Language Arts,LA001-03-E,Read common high-frequency sight words in isolation and simple text,Vocabulary Expansion,Understand and use learned sight words in simple verbal communication and storytelling
Language Arts,LA001-03-F,"Identify and read common consonant digraphs (sh, ch, th, wh) and blends (st, pl, br),Phonemic Awareness,Orally distinguish and pronounce the distinct sounds of sh, ch, th, wh, st",pl,and br when spoken in isolation
Language Arts,LA001-03-F,"Identify and read common consonant digraphs (sh, ch, th, wh) and blends (st, pl, br)",Visual Recognition,Correctly identify and point to written digraphs and blends within simple words on a printed page
Language Arts,LA001-03-F,"Identify and read common consonant digraphs (sh, ch, th, wh) and blends (st, pl, br),Decoding Skills,Blend consonant digraph and blend sounds with short vowel words (e.g., ""ship"", ""chat""","""stop""","""plan"")"
Language Arts,LA001-03-F,"Identify and read common consonant digraphs (sh, ch, th, wh) and blends (st, pl, br),Word Reading,Read aloud at least 10 simple words containing sh, ch, th, wh, st",pl,and br with 80% accuracy
Language Arts,LA001-03-F,"Identify and read common consonant digraphs (sh, ch, th, wh) and blends (st, pl, br)",Interactive Learning,Match spoken words with corresponding written words containing target digraphs and blends
Language Arts,LA001-03-F,"Identify and read common consonant digraphs (sh, ch, th, wh) and blends (st, pl, br),Sound Manipulation",Substitute initial digraph or blend sounds to create new words (e.g.,"change ""ship"" to ""chip"")"
Language Arts,LA001-03-G,"Read and comprehend words with common endings (-s, -ing, -ed) and compound words,Phonetic Endings,Correctly identify and read words ending with -s to show plurality (cats",dogs,books)
Language Arts,LA001-03-G,"Read and comprehend words with common endings (-s, -ing, -ed) and compound words,Verb Tense,Recognize and read words with -ing to describe ongoing actions (running",jumping,singing)
Language Arts,LA001-03-G,"Read and comprehend words with common endings (-s, -ing, -ed) and compound words,Past Tense Recognition,Read and understand words ending with -ed to indicate past actions (walked",played,jumped)
Language Arts,LA001-03-G,"Read and comprehend words with common endings (-s, -ing, -ed) and compound words,Compound Word Formation,Identify and read simple compound words by combining two familiar words (sunflower",playground,bookshelf)
Language Arts,LA001-03-G,"Read and comprehend words with common endings (-s, -ing, -ed) and compound words",Word Meaning Context,Use context clues to understand the meaning of words with common endings in simple sentences
Language Arts,LA001-03-G,"Read and comprehend words with common endings (-s, -ing, -ed) and compound words,Phonemic Manipulation,Blend individual sounds to create words with -s",-ing,and -ed endings
Language Arts,LA001-03-G,"Read and comprehend words with common endings (-s, -ing, -ed) and compound words",Interactive Word Play,Participate in word games that involve identifying and creating words with common endings and compound words
Language Arts,LA001-03-H,Apply phonics skills to distinguish between similarly spelled words in context,Vowel Sound Discrimination,Identify and verbally distinguish between short vowel sounds in words like 'cat' and 'cut'
Language Arts,LA001-03-H,"Apply phonics skills to distinguish between similarly spelled words in context,Visual Word Comparison",Match similar-looking written words with different pronunciations (e.g.,'made' vs 'mad')
Language Arts,LA001-03-H,Apply phonics skills to distinguish between similarly spelled words in context,Phonetic Decoding,Read and correctly pronounce minimal pairs of words that differ by one letter sound
Language Arts,LA001-03-H,Apply phonics skills to distinguish between similarly spelled words in context,Context Comprehension,Use surrounding text clues to determine the correct pronunciation of similarly spelled words
Language Arts,LA001-03-H,Apply phonics skills to distinguish between similarly spelled words in context,Sound Manipulation,Orally replace one letter sound to create a new word with a different meaning
Language Arts,LA001-03-H,Apply phonics skills to distinguish between similarly spelled words in context,Word Family Recognition,Identify and sort words with similar spelling patterns into appropriate phonetic groups
Language Arts,LA001-03-H,Apply phonics skills to distinguish between similarly spelled words in context,Interactive Word Sorting,Physically sort word cards into groups based on similar sound and spelling characteristics
Language Arts,LA002-02-A,Write left to right and top to bottom with consistent spacing between words,Directional Awareness,Demonstrate understanding of writing direction by correctly positioning letters and words from left to right on a page
Language Arts,LA002-02-A,Write left to right and top to bottom with consistent spacing between words,Spatial Control,Use finger spacing or small manipulatives to create consistent word separation when writing simple sentences
Language Arts,LA002-02-A,Write left to right and top to bottom with consistent spacing between words,Motor Skills,Practice tracing lines and letters that follow correct left-to-right and top-to-bottom writing progression
Language Arts,LA002-02-A,Write left to right and top to bottom with consistent spacing between words,Writing Mechanics,Complete a writing task that maintains consistent word spacing across multiple lines of text
Language Arts,LA002-02-A,Write left to right and top to bottom with consistent spacing between words,Spatial Awareness,Identify and correct writing samples that do not follow standard left-to-right and top-to-bottom writing conventions
Language Arts,LA002-02-A,Write left to right and top to bottom with consistent spacing between words,Visual Tracking,Follow a line of text with a finger or pointer to reinforce left-to-right reading and writing direction
Language Arts,LA002-02-B,Draw and label pictures to plan writing ideas before composing text,Pre-Writing Skills,Use simple drawings to represent a personal story or experience
Language Arts,LA002-02-B,"Draw and label pictures to plan writing ideas before composing text,Visual Planning,Create a sequential picture story with 3-4 basic images showing a clear beginning",middle,and end
Language Arts,LA002-02-B,Draw and label pictures to plan writing ideas before composing text,Descriptive Labeling,Add simple one-word or two-word labels to drawings to describe key elements or characters
Language Arts,LA002-02-B,Draw and label pictures to plan writing ideas before composing text,Narrative Organization,Use stick figures or basic shapes to outline the main events of a story before writing
Language Arts,LA002-02-B,Draw and label pictures to plan writing ideas before composing text,Concept Mapping,Create a simple picture web showing related ideas connected by lines or arrows
Language Arts,LA002-02-B,Draw and label pictures to plan writing ideas before composing text,Imagination Exploration,Draw a picture representing an imaginary scene or story idea from personal creativity
Language Arts,LA002-02-B,Draw and label pictures to plan writing ideas before composing text,Communication Planning,Use picture drawings to plan and communicate a sequence of events or personal story
Language Arts,LA002-02-C,Form complete simple sentences using subject and predicate,Sentence Structure,Identify and verbally state the subject (who/what) and predicate (what is happening) in a simple picture-based scenario
Language Arts,LA002-02-C,"Form complete simple sentences using subject and predicate,Oral Communication",Construct a basic sentence with a single subject and verb when describing a personal action (e.g.,"""I play"" or ""Mommy reads"")"
Language Arts,LA002-02-C,Form complete simple sentences using subject and predicate,Writing Skills,Write a simple sentence with a clear subject and predicate using invented spelling and basic word recognition
Language Arts,LA002-02-C,Form complete simple sentences using subject and predicate,Vocabulary Development,Create complete sentences using common nouns as subjects and age-appropriate action verbs
Language Arts,LA002-02-C,Form complete simple sentences using subject and predicate,Comprehension,Distinguish between complete sentences and incomplete word groups by identifying the presence of both a subject and a predicate
Language Arts,LA002-02-C,Form complete simple sentences using subject and predicate,Interactive Learning,Verbally complete a sentence started by the teacher by adding an appropriate subject or predicate
Language Arts,LA002-02-C,Form complete simple sentences using subject and predicate,Descriptive Language,Construct sentences that describe simple observations about objects or people using complete subject-predicate structures
Language Arts,LA002-02-D,Use proper capitalization for sentence beginnings and names,Letter Recognition,Identify and demonstrate that sentences always start with a capital letter
Language Arts,LA002-02-D,Use proper capitalization for sentence beginnings and names,Name Writing,Correctly capitalize the first letter of their own first and last name
Language Arts,LA002-02-D,Use proper capitalization for sentence beginnings and names,Sentence Structure,Recognize and circle the first letter of sentences in a printed text
Language Arts,LA002-02-D,Use proper capitalization for sentence beginnings and names,Proper Noun Usage,Capitalize the first letter of specific people's names when writing or copying
Language Arts,LA002-02-D,Use proper capitalization for sentence beginnings and names,Writing Practice,Write 3-4 simple sentences with proper capitalization at the beginning of each sentence
Language Arts,LA002-02-D,Use proper capitalization for sentence beginnings and names,Error Correction,Identify and fix lowercase letters at the start of sentences in simple writing samples
Language Arts,LA002-02-E,"Apply appropriate ending punctuation (period, question mark, exclamation point),Punctuation Identification,Identify and point to the three basic ending punctuation marks (period",question mark,exclamation point) when shown in printed text
Language Arts,LA002-02-E,"Apply appropriate ending punctuation (period, question mark, exclamation point),Sentence Type Recognition,Verbally distinguish between statements",questions,and excited sentences by listening to tone and context
Language Arts,LA002-02-E,"Apply appropriate ending punctuation (period, question mark, exclamation point)",Symbol Matching,Match spoken sentence types to their corresponding ending punctuation symbol when prompted
Language Arts,LA002-02-E,"Apply appropriate ending punctuation (period, question mark, exclamation point)",Writing Application,Independently write simple sentences and correctly place the appropriate ending punctuation mark based on sentence type
Language Arts,LA002-02-E,"Apply appropriate ending punctuation (period, question mark, exclamation point)",Emotional Expression,Use exclamation points to show excitement or strong feelings in simple written sentences
Language Arts,LA002-02-E,"Apply appropriate ending punctuation (period, question mark, exclamation point)",Punctuation Sorting,Categorize written sentences into groups based on their ending punctuation mark during guided activities
Language Arts,LA002-02-F,Enhance writing by adding descriptive words and specific details,Color Descriptors,Use color words to describe objects in simple sentences
Language Arts,LA002-02-F,"Enhance writing by adding descriptive words and specific details,Size Descriptors,Identify and use words that describe size (big, small",tiny,huge) when writing about objects
Language Arts,LA002-02-F,"Enhance writing by adding descriptive words and specific details,Sensory Details,Draw and label a picture with at least two descriptive words about how something looks",feels,or sounds
Language Arts,LA002-02-F,Enhance writing by adding descriptive words and specific details,Character Description,Create a simple character description using 3-4 descriptive words about appearance or personality
Language Arts,LA002-02-F,Enhance writing by adding descriptive words and specific details,Action Descriptors,Use action words and descriptive adjectives to make simple sentences more interesting and vivid
Language Arts,LA002-02-F,Enhance writing by adding descriptive words and specific details,Emotion Vocabulary,Express feelings by adding descriptive words that show how a character might feel in a story
Language Arts,LA002-02-F,"Enhance writing by adding descriptive words and specific details,Comparative Language,Use basic comparative words (bigger",smaller,louder) to add more detail to writing about objects or experiences
Language Arts,LA002-02-G,"Organize stories with clear beginning, middle, and end using basic transition words,Story Structure,Verbally describe a simple story with a clear sequence using ""first""","""next""","and ""finally"""
Language Arts,LA002-02-G,"Organize stories with clear beginning, middle, and end using basic transition words,Narrative Sequencing,Draw a three-part picture story showing a beginning",middle,and end with matching verbal descriptions
Language Arts,LA002-02-G,"Organize stories with clear beginning, middle, and end using basic transition words",Transition Word Usage,"Use at least two transition words (like ""then"" or ""after that"") when retelling a familiar story"
Language Arts,LA002-02-G,"Organize stories with clear beginning, middle, and end using basic transition words,Oral Storytelling,Create a personal narrative with a clear start",middle events,and conclusion using simple transition phrases
Language Arts,LA002-02-G,"Organize stories with clear beginning, middle, and end using basic transition words",Temporal Sequencing,Arrange story event cards in correct order and explain the sequence using basic transition words
Language Arts,LA002-02-G,"Organize stories with clear beginning, middle, and end using basic transition words,Comprehension Skills,Identify the beginning",middle,and end of a read-aloud story using simple temporal markers
Language Arts,LA002-02-H,"Read writing aloud to self and peers, incorporating feedback for improvement",Oral Presentation,Speak clearly and audibly when reading own writing to classmates
Language Arts,LA002-02-H,"Read writing aloud to self and peers, incorporating feedback for improvement",Listening Skills,Listen attentively to peers' writing and identify one positive aspect of their presentation
Language Arts,LA002-02-H,"Read writing aloud to self and peers, incorporating feedback for improvement",Self-Reflection,Use simple peer feedback to make at least one small improvement to written work
Language Arts,LA002-02-H,"Read writing aloud to self and peers, incorporating feedback for improvement",Communication Confidence,Volunteer to read writing aloud in small group settings without showing significant anxiety
Language Arts,LA002-02-H,"Read writing aloud to self and peers, incorporating feedback for improvement",Constructive Feedback,Offer one kind and specific suggestion when a classmate shares their writing
Language Arts,LA002-02-H,"Read writing aloud to self and peers, incorporating feedback for improvement",Emotional Regulation,Respond politely and calmly to suggestions about improving writing
Language Arts,LA002-02-H,"Read writing aloud to self and peers, incorporating feedback for improvement",Revision Skills,Demonstrate understanding of feedback by making a visible change to writing after peer review
Language Arts,LA002-02-I,"Use digital tools to produce, illustrate, and share writing with peers",Digital Drawing,Draw a simple picture related to a written story using a kid-friendly drawing app
Language Arts,LA002-02-I,"Use digital tools to produce, illustrate, and share writing with peers",Basic Typing,Use a keyboard to type their name and simple 3-4 letter words
Language Arts,LA002-02-I,"Use digital tools to produce, illustrate, and share writing with peers",Digital Collaboration,Share a digital writing/drawing project with a classmate using a supervised classroom platform
Language Arts,LA002-02-I,"Use digital tools to produce, illustrate, and share writing with peers",Digital Storytelling,"Create a 2-3 page digital ""book"" with simple sentences and corresponding illustrations"
Language Arts,LA002-02-I,"Use digital tools to produce, illustrate, and share writing with peers,Technology Skills,Navigate basic functions like saving",opening,and closing a digital document with teacher guidance
Language Arts,LA002-02-I,"Use digital tools to produce, illustrate, and share writing with peers,Digital Communication",Use a classroom-approved messaging tool to send a short,teacher-monitored message about a writing project
Language Arts,LA002-02-I,"Use digital tools to produce, illustrate, and share writing with peers",Multimedia Integration,Combine a written sentence with a matching digital photo or clipart image
Language Arts,LA002-03-A,"Identify basic information sources in the classroom (e.g., books, charts, pictures)",Information Source Recognition,Point to and name at least 3 different types of information sources in the classroom
Language Arts,LA002-03-A,"Identify basic information sources in the classroom (e.g., books, charts, pictures)",Book Exploration,Demonstrate understanding that books contain written and visual information by describing a picture or listening to a story
Language Arts,LA002-03-A,"Identify basic information sources in the classroom (e.g., books, charts, pictures)",Visual Learning,Explain what information a classroom chart or poster is showing using simple descriptive words
Language Arts,LA002-03-A,"Identify basic information sources in the classroom (e.g., books, charts, pictures),Source Purpose,Distinguish between different types of information sources (e.g.",storybooks for entertainment,picture dictionaries for learning words)
Language Arts,LA002-03-A,"Identify basic information sources in the classroom (e.g., books, charts, pictures)",Interactive Learning,Use classroom information sources independently during guided research or learning activities
Language Arts,LA002-03-A,"Identify basic information sources in the classroom (e.g., books, charts, pictures)",Information Gathering,Describe how pictures or charts can help answer simple questions about a topic
Language Arts,LA002-03-A,"Identify basic information sources in the classroom (e.g., books, charts, pictures)",Source Navigation,Locate specific information in a picture book or classroom chart with teacher guidance
Language Arts,LA002-03-B,Answer simple yes/no questions using provided picture sources,Visual Comprehension,Identify and point to correct picture that matches a simple yes/no question
Language Arts,LA002-03-B,Answer simple yes/no questions using provided picture sources,Verbal Response,"Verbally respond ""yes"" or ""no"" while looking at corresponding picture evidence"
Language Arts,LA002-03-B,Answer simple yes/no questions using provided picture sources,Descriptive Skills,Explain basic reasoning for yes/no answer using picture details
Language Arts,LA002-03-B,Answer simple yes/no questions using provided picture sources,Comparative Analysis,Compare two pictures to determine which better answers a specific yes/no question
Language Arts,LA002-03-B,Answer simple yes/no questions using provided picture sources,Categorical Understanding,"Sort pictures into ""yes"" and ""no"" groups based on specific question criteria"
Language Arts,LA002-03-B,Answer simple yes/no questions using provided picture sources,Observation Skills,Accurately identify key visual elements that support a yes/no response
Language Arts,LA002-03-B,Answer simple yes/no questions using provided picture sources,Inference Development,Make simple inferences about picture content to answer yes/no questions
Language Arts,LA002-03-B,Answer simple yes/no questions using provided picture sources,Interactive Learning,Collaborate with peers to discuss and validate yes/no picture responses
Language Arts,LA002-03-C,Extract one specific fact from a teacher-selected source,Listening Comprehension,Identify and repeat a single key fact from a read-aloud story
Language Arts,LA002-03-C,Extract one specific fact from a teacher-selected source,Visual Information,Point to a specific picture that represents a fact just learned from a picture book
