Subject,UnitID,UnitTitle,SkillID,SkillDescription,SubskillID,SubskillDescription,DifficultyStart,DifficultyEnd,TargetDifficulty,Rationale,SuggestionType
Science,ECOSYS001,Ecosystems and Environments,ECOSYS001-01,Recognize different types of environments,ECOSYS001-01-C,Sort living and non-living things in different environments,2.0,6.0,4.0,This prerequisite skill helps children understand basic ecosystem components before studying more complex habitat relationships.,New Subskill
Science,ECOSYS001,Ecosystems and Environments,ECOSYS001-02,Understand basic environmental care,ECOSYS001-02-C,Create simple habitat models using art materials,3.0,8.0,5.0,Incorporates kinesthetic and artistic learning while reinforcing habitat understanding. Supports multiple learning styles and cross-curricular integration.,New Subskill
Science,ECOSYS001,Ecosystems and Environments,ECOSYS001-02,"Explore basic needs of living things (food, water, shelter)",ECOSYS001-02-A,"Explore basic needs of living things (food, water, shelter)",2.0,7.0,4.0,Critical bridging concept between habitat recognition and environmental care. Helps children understand why different animals live in different places.,New Skill
Science,ECOSYS001,Ecosystems and Environments,ECOSYS001-02,Understand basic environmental care,ECOSYS001-02-C,Practice water conservation through daily activities,1.0,5.0,3.0,"Provides concrete, age-appropriate application of environmental care concepts through familiar routines like hand-washing and plant watering.",New Subskill
Science,ECOSYS001,Ecosystems and Environments,ECOSYS001-03,Use senses to explore and describe different environments,ECOSYS001-03-A,Use senses to explore and describe different environments,1.0,6.0,3.0,Develops observation skills while accommodating multiple learning styles. Creates foundation for scientific inquiry and data collection.,New Skill
Science,ECOSYS001,Ecosystems and Environments,ECOSYS001-01,Recognize different types of environments,ECOSYS001-01-C,Compare and contrast two different habitats using simple charts,5.0,10.0,7.0,Introduces basic data organization while developing critical thinking skills. Integrates math and literacy concepts.,New Subskill
Science,ECOSYS001,Ecosystems and Environments,ECOSYS001-04,Recognize how human actions affect local environments,ECOSYS001-04-A,Recognize how human actions affect local environments,4.0,9.0,6.0,Builds environmental stewardship awareness through relatable local examples. Bridges concept between environment recognition and care.,New Skill
Science,EARTH001,Earth and Space,EARTH001-01,Explore seasonal patterns and changes,EARTH001-01-A,Explore seasonal patterns and changes,3.0,12.0,7.0,Kindergarteners need to understand cyclical patterns in nature. This bridges weather observation with longer-term Earth changes and supports pattern recognition skills.,New Skill
Science,EARTH001,Earth and Space,EARTH001-01,Recognize basic features of Earth,EARTH001-01-C,"Sort and categorize natural Earth materials (rocks, soil, sand, water)",2.0,6.0,4.0,Hands-on exploration of Earth materials supports tactile learning and builds classification skills while reinforcing basic Earth features concepts.,New Subskill
Science,EARTH001,Earth and Space,EARTH001-02,Observe and describe objects in the sky,EARTH001-02-C,Create simple models of day and night using flashlights and spheres,5.0,10.0,7.0,Introduces basic modeling skills while reinforcing Sun concepts through kinesthetic learning.,New Subskill
Science,EARTH001,Earth and Space,EARTH001-02,Connect weather conditions to appropriate activities and clothing,EARTH001-02-A,Connect weather conditions to appropriate activities and clothing,1.0,5.0,3.0,Builds real-world application skills and personal relevance while reinforcing weather concepts.,New Skill
Science,EARTH001,Earth and Space,EARTH001-01,Recognize basic features of Earth,EARTH001-01-C,"Use simple tools to measure weather conditions (thermometer, wind sock)",4.0,9.0,6.0,Introduces basic scientific measurement while supporting STEM skill development.,New Subskill
Science,EARTH001,Earth and Space,EARTH001-02,Observe and describe objects in the sky,EARTH001-02-C,Record daily sky observations through drawing and basic charts,3.0,8.0,5.0,Integrates science with art and early mathematics while developing observation and documentation skills.,New Subskill
